No,Nama Prodi,Nama PT,Jenjang
13019,Teknik Informatika,Universitas Dipa Makassar,S1
13020,Manajemen Informatika,Universitas Dipa Makassar,D-III
13024,Teknik Geologi,Universitas Diponegoro,S1
13025,Administrasi Perkantoran,Universitas Diponegoro,D-III
13028,Manajemen Usaha Peternakan,Universitas Diponegoro,D-III
13030,Teknologi Hasil Perikanan,Universitas Diponegoro,S1
13032,KEDOKTERAN,UNIVERSITAS DIPONEGORO,S1
13033,Instrumentasi Dan Elektronika,Universitas Diponegoro,D-III
13034,DOKTER,UNIVERSITAS DIPONEGORO,Profesi
13035,ILMU BEDAH,UNIVERSITAS DIPONEGORO,Spesialis
13036,ILMU KESEHATAN ANAK,UNIVERSITAS DIPONEGORO,Spesialis
13037,ILMU PENYAKIT DALAM,UNIVERSITAS DIPONEGORO,Spesialis
13043,Psikologi,Universitas Diponegoro,S1
13045,Bahasa Inggris,Universitas Diponegoro,D-III
13046,Bahasa Jepang,Universitas Diponegoro,D-III
13047,Perpustakaan Dan Informasi,Universitas Diponegoro,D-III
13048,Teknik Perkapalan,Universitas Diponegoro,D-III
13049,Ilmu Perpustakaan,Universitas Diponegoro,S1
13051,Kearsipan,Universitas Diponegoro,D-III
13053,Teknik Geodesi,Universitas Diponegoro,S1
13067,Teknik Elektro,Universitas Diponegoro,D-III
13068,Administrasi Publik,Universitas Diponegoro,S1
13070,Teknik Sipil,Universitas Diponegoro,D-III
13071,Ilmu Komunikasi,Universitas Diponegoro,S1
13073,Sastra Inggris,Universitas Diponegoro,S1
13074,Teknik Informatika,Universitas Diponegoro,S1
13076,Arsitektur,Universitas Diponegoro,S1
13078,Hubungan Internasional,Universitas Diponegoro,S1
13079,Administrasi Bisnis,Universitas Diponegoro,S1
13080,Ilmu Pemerintahan,Universitas Diponegoro,S1
13081,Statistika,Universitas Diponegoro,S1
13082,Perencanaan Wilayah Dan Kota,Universitas Diponegoro,S1
13083,Kimia,Universitas Diponegoro,S1
13084,Teknologi Pangan,Universitas Diponegoro,S1
13089,Arsitektur,Universitas Diponegoro,D-III
13093,Antropologi Sosial,Universitas Diponegoro,S1
13094,Matematika,Universitas Diponegoro,S1
13098,Teknik Komputer,Universitas Diponegoro,S1
13099,Bahasa Dan Kebudayaan Jepang,Universitas Diponegoro,S1
13102,Ekonomi Pembangunan,Universitas Diponegoro,S1
13103,Agribisnis,Universitas Diponegoro,S1
13104,Rekayasa Perancangan Mekanik,Universitas Diponegoro,D-IV
13105,Teknologi Rekayasa Otomasi,Universitas Diponegoro,D-IV
13106,Akuntansi,Universitas Diponegoro,S1
13107,Teknologi Rekayasa Kimia Industri,Universitas Diponegoro,D-IV
13109,Teknik Mesin,Universitas Diponegoro,D-III
13110,Pendidikan Profesi Insinyur Profesi,Universitas Diponegoro,Profesi
13112,Manajemen,Universitas Diponegoro,S1
13114,Sejarah,Universitas Diponegoro,S1
13115,Teknik Mesin,Universitas Diponegoro,S1
13117,Oseanografi,Universitas Diponegoro,S1
13118,Akuakultur,Universitas Diponegoro,S1
13119,Perikanan Tangkap,Universitas Diponegoro,S1
13121,Biologi,Universitas Diponegoro,S1
13127,Pendidikan Profesi Akuntansi,Universitas Diponegoro,Profesi
13132,Agroekoteknologi,Universitas Diponegoro,S1
13133,Sastra Indonesia,Universitas Diponegoro,S1
13135,Ilmu Hukum,Universitas Diponegoro,S1
13136,Manajemen Perusahaan,Universitas Diponegoro,D-III
13138,Perpajakan,Universitas Diponegoro,D-III
13139,Akuntansi,Universitas Diponegoro,D-III
13140,Ekonomi Islam,Universitas Diponegoro,S1
13142,Manajemen Sumber Daya Perairan,Universitas Diponegoro,S1
13145,Perencanaan Wilayah Dan Kota,Universitas Diponegoro,D-III
13153,Fisika,Universitas Diponegoro,S1
13154,Teknik Elektro,Universitas Diponegoro,S1
13155,Bioteknologi,Universitas Diponegoro,S1
13156,Ilmu Kelautan,Universitas Diponegoro,S1
13158,Teknik Perkapalan,Universitas Diponegoro,S1
13159,Teknik Kimia,Universitas Diponegoro,S1
13160,Administrasi Pajak K. Batang,Universitas Diponegoro,D-III
13161,Manajemen Dan Adminsitrasi Logistik,Universitas Diponegoro,D-IV
13162,Akuntansi  K. Pekalongan,Universitas Diponegoro,D-III
13163,Bahasa Asing Terapan,Universitas Diponegoro,D-IV
13164,Teknologi Rekayasa Konstruksi Perkapalan,Universitas Diponegoro,D-IV
13167,Perencanaan Tata Ruang Dan Pertanahan,Universitas Diponegoro,D-IV
13169,Teknik Sipil,Universitas Diponegoro,S1
13170,Teknik Lingkungan,Universitas Diponegoro,S1
13171,Teknik Industri,Universitas Diponegoro,S1
13172,Teknik Infrastruktur Sipil Dan Perancangan Arsitektur,Universitas Diponegoro,D-IV
13173,Hubungan Masyarakat K. Batang,Universitas Diponegoro,D-III
13174,Manajemen Kampus Kab Rembang,Universitas Diponegoro,D-III
13177,Peternakan,Universitas Diponegoro,S1
13179,Perencanaan Tata Ruang Wilayah Dan Kota K. Pekalongan,Universitas Diponegoro,D-III
13180,Akuntansi Perpajakan,Universitas Diponegoro,D-IV
13181,Teknik Penerbangan,Universitas Dirgantara Marsekal Suryadarma,S1
13182,Teknik Industri,Universitas Dirgantara Marsekal Suryadarma,S1
13183,Teknik Aeronautika,Universitas Dirgantara Marsekal Suryadarma,D-III
13184,Ilmu Hukum,Universitas Dirgantara Marsekal Suryadarma,S1
13185,Sistem Informasi,Universitas Dirgantara Marsekal Suryadarma,S1
13186,Agroteknologi,Universitas Djuanda,S1
13187,Akuntansi,Universitas Djuanda,S1
13188,Ilmu Administrasi Negara,Universitas Djuanda,S1
13189,Ilmu Komunikasi,Universitas Djuanda,S1
13191,Pendidikan Bahasa Arab,Universitas Djuanda,S1
13192,Perbankan Syariah,Universitas Djuanda,S1
13193,Manajemen Pendidikan Islam,Universitas Djuanda,S1
13194,Manajemen,Universitas Djuanda,S1
13197,Ekonomi Syari'ah,Universitas Djuanda,S1
13198,Peternakan,Universitas Djuanda,S1
13199,Teknologi Industri Pertanian,Universitas Djuanda,S1
13200,Pendidikan Guru Sekolah Dasar,Universitas Djuanda,S1
13201,Agribisnis,Universitas Djuanda,S1
13202,Budidaya Perairan,Universitas Djuanda,S1
13203,Ilmu Hukum,Universitas Djuanda,S1
13204,Teknologi Pangan,Universitas Djuanda,S1
13205,Pendidikan Guru Sekolah Dasar,Universitas Doktor Nugroho Magetan,S1
13206,Pendidikan Khusus,Universitas Doktor Nugroho Magetan,S1
13207,Teknik Industri,Universitas Doktor Nugroho Magetan,S1
13208,Pendidikan Bahasa Inggris,Universitas Doktor Nugroho Magetan,S1
13209,Informatika,Universitas Doktor Nugroho Magetan,S1
13210,Sosial Ekonomi Pertanian,Universitas Doktor Nugroho Magetan,S1
13211,Teknik Sipil,Universitas Doktor Nugroho Magetan,S1
13212,Matematika,Universitas Doktor Nugroho Magetan,S1
13213,Pendidikan Guru Pendidikan Anak Usia Dini,Universitas Doktor Nugroho Magetan,S1
13215,Ilmu Administrasi Niaga,Universitas Dr Soetomo,S1
