No,Nama Prodi,Nama PT,Jenjang
1,ADMINISTRASI RUMAH SAKIT,AKADEMI ADMINISTRASI RUMAH SAKIT MATARAM,D-III
2,Akuntansi,Akademi Akuntansi (AKTAN) Boekittinggi,D-III
3,Akuntansi,Akademi Akuntansi Bandung,D-III
4,Akuntansi,Akademi Akuntansi Bina Insani,D-III
5,Akuntansi,Akademi Akuntansi Borobudur,D-III
6,Manajemen Informatika,Akademi Akuntansi Dan Komputer Stephen Jambi,D-III
7,Komputerisasi Akuntansi,Akademi Akuntansi Dan Komputer Stephen Jambi,D-III
8,Akuntansi,Akademi Akuntansi Dan Manajemen Mitra Lampung,D-III
9,Akuntansi,Akademi Akuntansi Dan Manajemen Pembangunan,D-III
10,Akuntansi,Akademi Akuntansi Denpasar,D-III
11,Akuntansi,Akademi Akuntansi Effendi Harahap,D-III
12,Akuntansi,Akademi Akuntansi Indonesia Padang,D-III
13,Akuntansi,Akademi Akuntansi Jayabaya,D-III
14,Akuntansi,Akademi Akuntansi Keuangan Dan Perbankan Indonesia,D-III
15,Keuangan Dan Perbankan,Akademi Akuntansi Keuangan Dan Perbankan Indonesia,D-III
16,Akuntansi,Akademi Akuntansi Lampung,D-III
17,Akuntansi,Akademi Akuntansi Muhammadiyah Klaten,D-III
18,Akuntansi,Akademi Akuntansi Permata Harapan Batam,D-III
19,Akuntansi,Akademi Akuntansi PGRI Jember,D-III
20,Akuntansi,Akademi Akuntansi Riau,D-III
21,Akuntansi,Akademi Akuntansi YAI Jakarta,D-III
22,Akuntansi,Akademi Akuntansi YKPN,D-III
23,Akuntansi,Akademi Akuntansi YPK Medan,D-III
28,ANALIS FARMASI DAN MAKANAN,AKADEMI ANALIS FARMASI DAN MAKANAN SUNAN GIRI PONOROGO,D-III
32,ANALIS KESEHATAN,AKADEMI ANALIS KESEHATAN HARAPAN BANGSA,D-III
34,ANALIS KESEHATAN,AKADEMI ANALIS KESEHATAN MANGGALA YOGYAKARTA,D-III
40,Teknik Mesin Kapal Perang,Akademi Angkatan Laut Surabaya,D-IV
41,Manajemen Pertahanan Matra Laut Aspek Dar,Akademi Angkatan Laut Surabaya,D-IV
42,Manajemen Logistik Dan Keuangan  Matra La,Akademi Angkatan Laut Surabaya,D-IV
43,Manajemen Pertahanan Matra Laut,Akademi Angkatan Laut Surabaya,D-IV
44,Teknik Aeronautika Pertahanan,Akademi Angkatan Udara (AAU),D-IV
45,Teknik Manajemen Industri Pertahanan,Akademi Angkatan Udara (AAU),D-IV
46,Teknik Elektronika Pertahanan,Akademi Angkatan Udara (AAU),D-IV
48,Bahasa Inggris,Akademi Bahasa Asing Balikpapan,D-III
49,Bahasa Inggris,Akademi Bahasa Asing Bina Insan Indonesia,D-III
50,Bahasa Inggris,Akademi Bahasa Asing Colorado Samarinda,D-III
51,Bahasa Inggris,Akademi Bahasa Asing Dian Cipta Cendikia,D-III
52,Bahasa Inggris,Akademi Bahasa Asing Harapan Bangsa,D-III
53,Bahasa Mandarin,Akademi Bahasa Asing Internasional Bandung,D-III
54,Bahasa Inggris,Akademi Bahasa Asing Permata Harapan,D-III
55,Bahasa Inggris,Akademi Bahasa Asing Permata Hati Tarakan,D-III
56,Bahasa Inggris,Akademi Bahasa Asing Persada Bunda,D-III
57,Bahasa Inggris,Akademi Bahasa Asing Sinema Yogyakarta,D-III
58,Bahasa Inggris,Akademi Bahasa Asing St Pignatelli,D-III
59,Bahasa Inggris,Akademi Bahasa Asing UMI Makassar,D-III
60,Bahasa Inggris,Akademi Bahasa Asing Widya Dharma,D-III
62,Kewirausahaan,Akademi Enterpreneurship Terang Bangsa,D-III
63,Akuntansi,Akademi Enterpreneurship Terang Bangsa,D-III
73,FARMASI,AKADEMI FARMASI INSTITUT KEJURUAN ILMU FARMASI,D-III
74,FARMASI,AKADEMI FARMASI ISFI BANJARMASIN,D-III
81,FARMASI,AKADEMI FARMASI MUHAMMADIYAH CIREBON,D-III
87,FARMASI,AKADEMI FARMASI SANDI KARSA,D-III
89,FARMASI,AKADEMI FARMASI SARASWATI DENPASAR,D-III
92,FARMASI,AKADEMI FARMASI THERESIANA,D-III
102,FISIOTERAPI,AKADEMI FISIOTERAPI WIDYA HUSADA,D-III
103,FISIOTERAPI,AKADEMI FISIOTERAPI YAB YOGYAKARTA,D-III
105,Gizi,Akademi Gizi Karya Husada Kediri,D-III
107,Manajemen Informatika,Akademi Ilmu Komputer Ternate,D-III
108,Teknik Komputer,Akademi Ilmu Komputer Ternate,D-III
109,Manajemen Pelabuhan,Akademi Ilmu Pelayaran Nusa Tenggara,D-III
110,Teknologi Kimia Tekstil,Akademi Industri Tekstil Bandung,D-III
111,Teknologi Industri Tekstil,Akademi Industri Tekstil Bandung,D-III
112,Komputerisasi Akuntansi,Akademi Informatika Dan Komputer Medicom,D-III
113,Teknik Komputer,Akademi Informatika Dan Komputer Medicom,D-III
114,Manajemen Informatika,Akademi Informatika Dan Komputer Medicom,D-III
117,KEBIDANAN,AKADEMI KEBIDANAN ADILA,D-III
118,KEBIDANAN,AKADEMI KEBIDANAN AGATHA,D-III
122,KEBIDANAN,AKADEMI KEBIDANAN AISYIYAH PONTIANAK,D-III
123,KEBIDANAN,AKADEMI KEBIDANAN AL-FATHONAH JAKARTA,D-III
127,KEBIDANAN,AKADEMI KEBIDANAN AL-ISHLAH CILEGON,D-III
132,KEBIDANAN,AKADEMI KEBIDANAN AN-NUR PURWODADI,D-III
133,KEBIDANAN,AKADEMI KEBIDANAN ANUGERAH BINTAN,D-III
134,KEBIDANAN,AKADEMI KEBIDANAN AR-RAHMA,D-III
136,KEBIDANAN,AKADEMI KEBIDANAN AR-RUM SALATIGA,D-III
140,KEBIDANAN,AKADEMI KEBIDANAN AUDI HUSADA MEDAN,D-III
144,KEBIDANAN,AKADEMI KEBIDANAN BANDUNG,D-III
147,KEBIDANAN,AKADEMI KEBIDANAN BARUNA HUSADA SIBUHUAN,D-III
153,KEBIDANAN,AKADEMI KEBIDANAN BHAKTI HUSADA CIKARANG,D-III
157,KEBIDANAN,AKADEMI KEBIDANAN BHAKTI PURNA HUSADA,D-III
158,KEBIDANAN,AKADEMI KEBIDANAN BHAKTI PUTRA BANGSA PURWOREJO,D-III
164,KEBIDANAN,AKADEMI KEBIDANAN BUDI MULIA,D-III
172,KEBIDANAN,AKADEMI KEBIDANAN BUTON RAYA,D-III
173,KEBIDANAN,AKADEMI KEBIDANAN CIANJUR,D-III
175,KEBIDANAN,AKADEMI KEBIDANAN DARMO MEDAN,D-III
177,KEBIDANAN,AKADEMI KEBIDANAN DARUSSALAM,D-III
178,KEBIDANAN,AKADEMI KEBIDANAN DEHASEN BENGKULU,D-III
179,KEBIDANAN,AKADEMI KEBIDANAN DELI HUSADA DELITUA MEDAN,D-III
181,KEBIDANAN,AKADEMI KEBIDANAN DHARMA HUSADA KEDIRI,D-III
188,KEBIDANAN,AKADEMI KEBIDANAN GEMILANG HUSADA KOTABUMI,D-III
191,KEBIDANAN,AKADEMI KEBIDANAN GRAHA MANDIRI CILACAP,D-III
192,KEBIDANAN,AKADEMI KEBIDANAN GRIYA HUSADA,D-III
197,KEBIDANAN,AKADEMI KEBIDANAN HARAPAN BUNDA,D-III
200,KEBIDANAN,AKADEMI KEBIDANAN HARAPAN KELUARGA,D-III
202,KEBIDANAN,AKADEMI KEBIDANAN HARAPAN MULYA PONOROGO,D-III
203,KEBIDANAN,AKADEMI KEBIDANAN HELVETIA MEDAN,D-III
206,KEBIDANAN,AKADEMI KEBIDANAN HUSADA GEMILANG,D-III
207,KEBIDANAN,AKADEMI KEBIDANAN IBRAHIMY,D-III
209,KEBIDANAN,AKADEMI KEBIDANAN IKA BINA LABUHAN BATU,D-III
210,KEBIDANAN,AKADEMI KEBIDANAN IMAM BONJOL,D-III
212,KEBIDANAN,AKADEMI KEBIDANAN INTERNASIONAL PEKANBARU,D-III
214,KEBIDANAN,AKADEMI KEBIDANAN KAMANRE PALOPO,D-III
217,KEBIDANAN,AKADEMI KEBIDANAN KARYA BUNDA HUSADA,D-III
219,KEBIDANAN,AKADEMI KEBIDANAN KERIS HUSADA,D-III
228,KEBIDANAN,AKADEMI KEBIDANAN LAPATAU BONE,D-III
231,KEBIDANAN,AKADEMI KEBIDANAN MANDIRI GRESIK,D-III
233,KEBIDANAN,AKADEMI KEBIDANAN MATORKIS,D-III
237,KEBIDANAN,AKADEMI KEBIDANAN MENARA BUNDA,D-III
240,KEBIDANAN,AKADEMI KEBIDANAN MITRA HUSADA MEDAN,D-III
242,KEBIDANAN,AKADEMI KEBIDANAN MITRA SEHAT SIDOARJO,D-III
243,KEBIDANAN,AKADEMI KEBIDANAN MITRA SYUHADA PADANGSIDIMPUAN,D-III
247,KEBIDANAN,AKADEMI KEBIDANAN MUNAWARRAH BIREUEN,D-III
250,KEBIDANAN,AKADEMI KEBIDANAN MUTIARA MAHAKAM,D-III
251,KEBIDANAN,AKADEMI KEBIDANAN NAMIRA KOTANOPAN,D-III
255,KEBIDANAN,AKADEMI KEBIDANAN NUSANTARA JAYA,D-III
259,KEBIDANAN,AKADEMI KEBIDANAN PAMENANG,D-III
262,KEBIDANAN,AKADEMI KEBIDANAN PANTI WILASA,D-III
264,KEBIDANAN,AKADEMI KEBIDANAN PASAMAN BARAT,D-III
267,KEBIDANAN,AKADEMI KEBIDANAN PELITA ILMU,D-III
268,KEBIDANAN,AKADEMI KEBIDANAN PEMERINTAH KABUPATEN KARO KABANJAHE,D-III
269,KEBIDANAN,AKADEMI KEBIDANAN PEMERINTAH PROVINSI BALI SINGARAJA,D-III
273,KEBIDANAN,AKADEMI KEBIDANAN PERSADA WAJO,D-III
274,KEBIDANAN,AKADEMI KEBIDANAN PETRO MANDAU HUSADA,D-III
275,KEBIDANAN,AKADEMI KEBIDANAN PGRI KEDIRI,D-III
278,KEBIDANAN,AKADEMI KEBIDANAN PRIMA INDONESIA,D-III
279,KEBIDANAN,AKADEMI KEBIDANAN PRIMA SENGKANG,D-III
285,KEBIDANAN,AKADEMI KEBIDANAN RESPATI,D-III
287,KEBIDANAN,AKADEMI KEBIDANAN RSPAD GATOT SOEBROTO,D-III
290,KEBIDANAN,AKADEMI KEBIDANAN SANDI KARSA,D-III
291,KEBIDANAN,AKADEMI KEBIDANAN SARI MUTIARA MEDAN,D-III
302,KEBIDANAN,AKADEMI KEBIDANAN SITI FATIMAH,D-III
303,KEBIDANAN,AKADEMI KEBIDANAN ST. BENEDICTA PONTIANAK,D-III
312,KEBIDANAN,AKADEMI KEBIDANAN UMMI KHASANAH,D-III
313,KEBIDANAN,AKADEMI KEBIDANAN WAHANA HUSADA BANDAR JAYA,D-III
314,KEBIDANAN,AKADEMI KEBIDANAN WIJAYA HUSADA,D-III
316,KEBIDANAN,AKADEMI KEBIDANAN WIRA HUSADA NUSANTARA,D-III
319,KEBIDANAN,AKADEMI KEBIDANAN YAPKESBI BANJARBARU,D-III
321,KEBIDANAN,AKADEMI KEBIDANAN YAPPI SRAGEN,D-III
323,KEBIDANAN,AKADEMI KEBIDANAN YAYASAN KESEHATAN NASIONAL,D-III
324,KEBIDANAN,AKADEMI KEBIDANAN YAYASAN PENDIDIKAN MONA,D-III
328,Ketatalaksanaan Pelayaran Niaga Dan Kepelabuhan,Akademi Kelautan Banyuwangi,D-III
330,KEPERAWATAN,AKADEMI KEPERAWATAN AISYIYAH PADANG,D-III
338,KEPERAWATAN,AKADEMI KEPERAWATAN ARTA KABANJAHE,D-III
339,Keperawatan,Akademi Keperawatan As-Syafi`iyah,D-III
342,KEPERAWATAN,AKADEMI KEPERAWATAN BAITURRAHMAH PADANG,D-III
343,KEPERAWATAN,AKADEMI KEPERAWATAN BALA KESELAMATAN,D-III
344,KEPERAWATAN,AKADEMI KEPERAWATAN BARAMULI,D-III
352,KEPERAWATAN,AKADEMI KEPERAWATAN BINA INSAN JAKARTA,D-III
353,KEPERAWATAN,AKADEMI KEPERAWATAN BINA INSANI SAKTI,D-III
356,KEPERAWATAN,AKADEMI KEPERAWATAN BUNTET PESANTREN,D-III
358,KEPERAWATAN,AKADEMI KEPERAWATAN DARMO MEDAN,D-III
359,KEPERAWATAN,AKADEMI KEPERAWATAN DELI HUSADA DELITUA MEDAN,D-III
362,KEPERAWATAN,AKADEMI KEPERAWATAN DHARMA HUSADA PEKANBARU,D-III
366,KEPERAWATAN,AKADEMI KEPERAWATAN DR. SOEDONO PROVINSI JAWA TIMUR,D-III
368,KEPERAWATAN,AKADEMI KEPERAWATAN FATMAWATI,D-III
371,KEPERAWATAN,AKADEMI KEPERAWATAN GITA MATURA ABADI KISARAN,D-III
375,KEPERAWATAN,AKADEMI KEPERAWATAN HARUM,D-III
377,KEPERAWATAN,AKADEMI KEPERAWATAN HUSADA KARYA JAYA,D-III
378,KEPERAWATAN,AKADEMI KEPERAWATAN IBNU SINA KOTA SABANG,D-III
380,KEPERAWATAN,AKADEMI KEPERAWATAN INTAN MARTAPURA,D-III
382,KEPERAWATAN,AKADEMI KEPERAWATAN KALTARA TARAKAN,D-III
383,KEPERAWATAN,AKADEMI KEPERAWATAN KARYA BHAKTI NUSANTARA,D-III
385,KEPERAWATAN,AKADEMI KEPERAWATAN KESDAM I/ BUKIT BARISAN,D-III
387,KEPERAWATAN,AKADEMI KEPERAWATAN KESDAM I/BUKIT BARISAN PADANG,D-III
388,KEPERAWATAN,AKADEMI KEPERAWATAN KESDAM I/BUKIT BARISAN PEMATANG SIANTAR,D-III
389,KEPERAWATAN,AKADEMI KEPERAWATAN KESDAM II SRIWIJAYA,D-III
392,KEPERAWATAN,AKADEMI KEPERAWATAN KESDAM IV/DIPONEGORO,D-III
393,KEPERAWATAN,AKADEMI KEPERAWATAN KESDAM IX/UDAYANA,D-III
394,KEPERAWATAN,AKADEMI KEPERAWATAN KESDAM VI/TANJUNGPURA,D-III
402,KEPERAWATAN,AKADEMI KEPERAWATAN MARANATHA GROUPS,D-III
404,KEPERAWATAN,AKADEMI KEPERAWATAN NABILA,D-III
406,KEPERAWATAN,AKADEMI KEPERAWATAN NGESTI WALUYO PARAKAN,D-III
407,KEPERAWATAN,AKADEMI KEPERAWATAN NOTOKUSUMO,D-III
417,KEPERAWATAN,AKADEMI KEPERAWATAN PEMERINTAH DAERAH KABUPATEN SERANG PROVINSI BANTEN,D-III
418,KEPERAWATAN,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN ASAHAN KISARAN,D-III
419,KEPERAWATAN,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN BELITUNG,D-III
420,KEPERAWATAN,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN BUTON,D-III
421,KEPERAWATAN,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN DAIRI SIDIKALANG PROVINSI SUMATERA UTARA,D-III
422,KEPERAWATAN,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN KOTAWARINGIN TIMUR PROVINSI KALIMANTAN TENGAH,D-III
423,KEPERAWATAN,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN LAMONGAN,D-III
424,KEPERAWATAN,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN MUNA,D-III
425,KEPERAWATAN,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN MUSI BANYUASIN,D-III
427,KEPERAWATAN,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN PAMEKASAN,D-III
430,KEPERAWATAN,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN WAJO,D-III
431,KEPERAWATAN,AKADEMI KEPERAWATAN PEMERINTAH PROVINSI KALIMANTAN BARAT,D-III
436,KEPERAWATAN,AKADEMI KEPERAWATAN PURNA BHAKTI HUSADA,D-III
440,KEPERAWATAN,AKADEMI KEPERAWATAN RS DGI CIKINI,D-III
441,KEPERAWATAN,AKADEMI KEPERAWATAN RS DUSTIRA,D-III
443,KEPERAWATAN,AKADEMI KEPERAWATAN RS HUSADA,D-III
445,KEPERAWATAN,AKADEMI KEPERAWATAN RSP TNI-AU JAKARTA,D-III
449,KEPERAWATAN,AKADEMI KEPERAWATAN RUMAH SAKIT TK. II PELAMONIA,D-III
450,KEPERAWATAN,AKADEMI KEPERAWATAN RUMKIT TINGKAT III MANADO,D-III
452,KEPERAWATAN,AKADEMI KEPERAWATAN SAIFUDDIN ZUHRI,D-III
453,KEPERAWATAN,AKADEMI KEPERAWATAN SAMAWA,D-III
455,KEPERAWATAN,AKADEMI KEPERAWATAN SAWERIGADING PEMDA LUWU,D-III
463,KEPERAWATAN,AKADEMI KEPERAWATAN TENAGA PEMBANGUNAN ARJUNA,D-III
464,KEPERAWATAN,AKADEMI KEPERAWATAN TEUNGKU FAKINAH BANDA ACEH,D-III
468,KEPERAWATAN,AKADEMI KEPERAWATAN YAKPERMAS BANYUMAS,D-III
477,KEPERAWATAN,AKADEMI KEPERAWATAN YPIB MAJALENGKA,D-III
479,KEPERAWATAN,AKADEMI KEPERAWATAN YPSBR MUARA BULIAN,D-III
480,KEPERAWATAN,AKADEMI KEPERAWATAN YPTK SOLOK,D-III
481,Kepolisian,Akademi Kepolisian (AKPOL),D-IV
484,KEPERAWATAN,AKADEMI KESEHATAN ASIH HUSADA,D-III
486,KEPERAWATAN,AKADEMI KESEHATAN DINAS PENDIDIKAN DAN KEBUDAYAAN PROVINSI RIAU,D-III
487,KESEHATAN GIGI DAN MULUT,AKADEMI KESEHATAN GIGI DITKESAD JAKARTA,D-III
488,TEKNIK GIGI,AKADEMI KESEHATAN GIGI KARYA ADI HUSADA MATARAM,D-III
489,KESEHATAN GIGI,AKADEMI KESEHATAN GIGI KENDARI,D-III
495,KESEHATAN LINGKUNGAN,AKADEMI KESEHATAN LINGKUNGAN PEMERINTAH PROVINSI SUMATERA SELATAN,D-III
496,KEBIDANAN,AKADEMI KESEHATAN RUSTIDA,D-III
499,KEBIDANAN,AKADEMI KESEHATAN YAYASAN RUMAH SAKIT JAKARTA,D-III
500,KEPERAWATAN,AKADEMI KESEHATAN YAYASAN RUMAH SAKIT JAKARTA,D-III
501,KEPERAWATAN,AKADEMI KESEHATAN YAYASAN SAPTA BAKTI BENGKULU,D-III
502,KEBIDANAN,AKADEMI KESEHATAN YAYASAN SAPTA BAKTI BENGKULU,D-III
504,Tata Rias,Akademi Kesejahteraan Sosial AKK,D-III
505,Desain Busana,Akademi Kesejahteraan Sosial AKK,D-III
506,Seni Kuliner,Akademi Kesejahteraan Sosial AKK,D-III
507,Tata Rias,Akademi Kesejahteraan Sosial Ibu Kartini,D-III
508,Desain Busana,Akademi Kesejahteraan Sosial Ibu Kartini,D-III
509,Seni Kuliner,Akademi Kesejahteraan Sosial Ibu Kartini,D-III
510,Seni Tari,Akademi Kesenian Melayu Riau,D-III
511,Seni Teater,Akademi Kesenian Melayu Riau,D-III
512,Ketatalaksanaan Pelayaran Niaga Dan Kepel,Akademi Ketatalaksanaan Pelayaran Niaga Bahtera,D-III
513,Manajemen Transportasi Laut (D3),Akademi Ketatalaksanaan Pelayaran Niaga Bahtera,D-III
514,Keuangan Dan Perbankan,Akademi Keuangan Dan Perbankan Borobudur,D-III
515,Keuangan Dan Perbankan,Akademi Keuangan Dan Perbankan Denpasar,D-III
516,Keuangan Dan Perbankan,Akademi Keuangan Dan Perbankan Effata Kupang,D-III
517,Keuangan Dan Perbankan,Akademi Keuangan Dan Perbankan Grha Arta Katulistiwa,D-III
518,Keuangan Dan Perbankan,Akademi Keuangan Dan Perbankan Mulia Darma Pratama,D-III
519,Keuangan Dan Perbankan,Akademi Keuangan Dan Perbankan Padang,D-III
520,Keuangan Dan Perbankan,Akademi Keuangan Perbankan Nusantara,D-III
521,Keuangan Dan Perbankan,Akademi Keuangan Perbankan Tahuna,D-III
522,Periklanan,Akademi Komunikasi Indonesia YPK,D-III
523,Penyiaran,Akademi Komunikasi Indonesia YPK,D-III
524,Hubungan Masyarakat,Akademi Komunikasi Indonesia YPK,D-III
525,Hubungan Masyarakat,Akademi Komunikasi Media Radio Dan Televisi (AKAMRTV) Jakarta,D-III
526,Penyiaran,Akademi Komunikasi Radya Binatama,D-III
527,Produksi Film Dan Televisi,Akademi Komunikasi SAE Indonesia,D-IV
528,Manajemen & Produksi Film Video & TV,Akademi Komunikasi SAE Indonesia,D-III
529,Akuntansi Usaha Kecil Dan Menengah,Akademi Komunitas Dharma Bhakti Bangka,D-II
530,Teknik Perawatan Mesin,Akademi Komunitas Industri Manufaktur Bantaeng,D-II
531,Analisis Kimia,Akademi Komunitas Industri Manufaktur Bantaeng,D-II
532,Teknik Listrik Dan Instalasi,Akademi Komunitas Industri Manufaktur Bantaeng,D-II
533,Teknik Pengolahan Hasil Tambang Mineral Dan Batu Bara,Akademi Komunitas Industri Pertambangan Bukit Asam,D-I
534,Teknik Perawatan Alat Tambang,Akademi Komunitas Industri Pertambangan Bukit Asam,D-I
535,Teknik Pengoperasian Alat Tambang,Akademi Komunitas Industri Pertambangan Bukit Asam,D-I
536,Teknik Pembuatan Garmen,Akademi Komunitas Industri Tekstil Dan Produk Tekstil Surakarta,D-II
537,Teknik Pembuatan Benang,Akademi Komunitas Industri Tekstil Dan Produk Tekstil Surakarta,D-II
538,Teknik Pembuatan Kain Tenun,Akademi Komunitas Industri Tekstil Dan Produk Tekstil Surakarta,D-II
539,Tata Hidangan,Akademi Komunitas Manajemen Perhotelan Indonesia,D-I
540,Tata Boga,Akademi Komunitas Manajemen Perhotelan Indonesia,D-I
541,Akomodasi,Akademi Komunitas Manajemen Perhotelan Indonesia,D-II
542,Instalasi Dan Pemeliharaan Jaringan Listrik,Akademi Komunitas Negeri Aceh Barat,D-II
543,Teknologi Pengelasan Logam,Akademi Komunitas Negeri Aceh Barat,D-II
544,Pemeliharaan Kendaraan Ringan,Akademi Komunitas Negeri Pacitan,D-II
545,Pemeliharaan Komputer Dan Jaringan,Akademi Komunitas Negeri Pacitan,D-II
546,Tata Laksana Studio Produksi,Akademi Komunitas Negeri Pacitan,D-II
547,Penyuntingan Audio Dan Video,Akademi Komunitas Negeri Putra Sang Fajar Blitar,D-II
548,Administrasi Server Dan Jaringan Komputer,Akademi Komunitas Negeri Putra Sang Fajar Blitar,D-II
549,Pengolahan Hasil Ternak Unggas,Akademi Komunitas Negeri Putra Sang Fajar Blitar,D-II
550,Budidaya  Perikanan Air Tawar,Akademi Komunitas Negeri Rejang Lebong,D-II
551,Budidaya Tanaman Hortikultura,Akademi Komunitas Negeri Rejang Lebong,D-II
552,Teknologi Produksi Ternak Unggas,Akademi Komunitas Negeri Rejang Lebong,D-II
553,Teknik Alat Berat,Akademi Komunitas Olat Maras,D-I
554,Pemeliharaan Kelapa Sawit,Akademi Komunitas Perkebunan Yogyakarta,D-I
555,Teknik Perawatan Mesin Dan Peralatan Industri,Akademi Komunitas Semen Indonesia,D-II
556,Teknik Operasional Mesin Dan Peralatan Industri,Akademi Komunitas Semen Indonesia,D-II
557,Otomasi Perkantoran,Akademi Komunitas Semen Indonesia,D-II
558,Otomasi Perkantoran,Akademi Komunitas Semen Indonesia Rembang,D-II
559,Teknik Operasi Mesin Dan Peralatan Industri,Akademi Komunitas Semen Indonesia Rembang,D-II
560,Teknik Pemeliharaan Mesin Dan Peralatan Industri,Akademi Komunitas Semen Indonesia Rembang,D-II
561,Teknik Pemeliharaan Mesin Otomasi,Akademi Komunitas Toyota Indonesia,D-I
562,Seni Kuliner,Akademi Kuliner Dan Patiseri Ottimmo Internasional,D-III
563,Tata Boga,Akademi Kuliner Monas Pasifik,D-III
564,Manajemen Administrasi,Akademi Manajemen Administrasi (AMA) Yogyakarta,D-III
565,Manajemen Administrasi,Akademi Manajemen Administrasi Dharmala,D-III
566,Manajemen (D3),Akademi Manajemen Administrasi Yogyakarta,D-III
567,Manajemen Administrasi,Akademi Manajemen Administrasi YPK Yogyakarta,D-III
568,Manajemen,Akademi Manajemen Administrasi YPK Yogyakarta,D-III
569,Manajemen Administrasi,Akademi Manajemen Belitung,D-III
570,Manajemen Informatika,Akademi Manajemen Belitung,D-III
571,Manajemen Perusahaan,Akademi Manajemen Bumi Sebalo Bengkayang,D-III
572,Manajemen Informatika,Akademi Manajemen Informatika &amp; Komputer Jaya Nusa,D-III
573,Manajemen Informatika,Akademi Manajemen Informatika &amp; Komputer Universal,D-III
574,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Al-Muslim,D-III
575,Komputerisasi Akuntansi,Akademi Manajemen Informatika Dan Komputer Al-Muslim,D-III
576,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Bogor,D-III
577,Komputerisasi Akuntansi,Akademi Manajemen Informatika Dan Komputer BSI Jakarta,D-III
578,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer BSI Karawang,D-III
579,Komputerisasi Akuntansi,Akademi Manajemen Informatika Dan Komputer BSI Karawang,D-III
580,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer BSI Pontianak,D-III
581,Komputerisasi Akuntansi,Akademi Manajemen Informatika Dan Komputer BSI Pontianak,D-III
582,Komputerisasi Akuntansi,Akademi Manajemen Informatika Dan Komputer Cipta Darma,D-III
583,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Dumai,D-III
584,Teknik Informatika,Akademi Manajemen Informatika Dan Komputer Garut,D-III
585,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Garut,D-III
586,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Hass,D-III
587,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Imelda,D-III
588,Komputerisasi Akuntansi,Akademi Manajemen Informatika Dan Komputer Imelda,D-III
589,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Jakarta Teknologi Cipta,D-III
590,Teknik Komputer,Akademi Manajemen Informatika Dan Komputer Kosgoro,D-III
591,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Kosgoro,D-III
592,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Lamappapoleonro Soppeng,D-III
593,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Lampung,D-III
594,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Luwuk Banggai,D-III
595,Komputerisasi Akuntansi,Akademi Manajemen Informatika Dan Komputer Luwuk Banggai,D-III
596,Teknik Komputer,Akademi Manajemen Informatika Dan Komputer Mdp,D-III
597,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Mdp,D-III
598,Teknik Informatika,Akademi Manajemen Informatika Dan Komputer Medan Business Polytechnic,D-III
599,Teknik Informatika,Akademi Manajemen Informatika Dan Komputer New Media,D-III
600,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer New Media,D-III
601,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer PGRI Kebumen,D-III
602,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Raharja Informatika,D-III
603,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Royal,D-III
604,Teknik Komputer,Akademi Manajemen Informatika Dan Komputer Selat Panjang,D-III
605,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Selat Panjang,D-III
606,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Serang,D-III
607,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Sigma,D-I
608,Teknik Informatika,Akademi Manajemen Informatika Dan Komputer Stiekom Sumatera Utara,D-III
609,Sistem Informasi Akuntansi,Akademi Manajemen Informatika Dan Komputer Taruna,D-III
610,Teknologi Informasi,Akademi Manajemen Informatika Dan Komputer Taruna,D-III
611,Sistem Informasi,Akademi Manajemen Informatika Dan Komputer Taruna,D-III
612,Manajemen Informatika,Akademi Manajemen Informatika Dan Komputer Veteran Purwokerto,D-III
613,Teknik Komputer,Akademi Manajemen Informatika Dan Komputer Yapenas Kendari,D-III
